Date,Hami_Video
2018-06-16-06:00,1051
2018-06-16-06:05,1026
2018-06-16-06:10,1010
2018-06-16-06:15,987
2018-06-16-06:20,973
2018-06-16-06:25,957
2018-06-16-06:30,952
2018-06-16-06:35,932
2018-06-16-06:40,922
2018-06-16-06:45,901
2018-06-16-06:50,894
2018-06-16-06:55,890
2018-06-16-07:00,876
2018-06-16-07:05,861
2018-06-16-07:10,845
2018-06-16-07:15,829
2018-06-16-07:20,804
2018-06-16-07:25,789
2018-06-16-07:30,786
2018-06-16-07:35,769
2018-06-16-07:40,760
2018-06-16-07:45,739
2018-06-16-07:50,730
2018-06-16-07:55,726
2018-06-16-08:00,717
2018-06-16-08:05,700
2018-06-16-08:10,689
2018-06-16-08:15,673
2018-06-16-08:20,670
2018-06-16-08:25,655
2018-06-16-08:30,637
2018-06-16-08:35,629
2018-06-16-08:40,628
2018-06-16-08:45,617
2018-06-16-08:50,614
2018-06-16-08:55,611
2018-06-16-09:00,608
2018-06-16-09:05,741
2018-06-16-09:10,635
2018-06-16-09:15,586
2018-06-16-09:20,569
2018-06-16-09:25,557
2018-06-16-09:30,537
2018-06-16-09:35,520
2018-06-16-09:40,511
2018-06-16-09:45,506
2018-06-16-09:50,508
2018-06-16-09:55,488
2018-06-16-10:00,486
2018-06-16-10:05,477
2018-06-16-10:10,474
2018-06-16-10:15,451
2018-06-16-10:20,429
2018-06-16-10:25,413
2018-06-16-10:30,402
2018-06-16-10:35,401
2018-06-16-10:40,396
2018-06-16-10:45,391
2018-06-16-10:50,437
2018-06-16-10:55,529
2018-06-16-11:00,616
2018-06-16-11:05,645
2018-06-16-11:10,711
2018-06-16-11:15,823
2018-06-16-11:20,905
2018-06-16-11:25,1014
2018-06-16-11:30,959
2018-06-16-11:35,926
2018-06-16-11:40,827
2018-06-16-11:45,826
2018-06-16-11:50,831
2018-06-16-11:55,794
2018-06-16-12:00,788
2018-06-16-12:05,815
2018-06-16-12:10,780
2018-06-16-12:15,759
2018-06-16-12:20,768
2018-06-16-12:25,777
2018-06-16-12:30,791
2018-06-16-12:35,790
2018-06-16-12:40,795
2018-06-16-12:45,771
2018-06-16-12:50,703
2018-06-16-12:55,712
2018-06-16-13:00,710
2018-06-16-13:05,714
2018-06-16-13:10,703
2018-06-16-13:15,722
2018-06-16-13:20,718
2018-06-16-13:25,740
2018-06-16-13:30,765
2018-06-16-13:35,789
2018-06-16-13:40,800
2018-06-16-13:45,807
2018-06-16-13:50,845
2018-06-16-13:55,892
2018-06-16-14:00,913
2018-06-16-14:05,875
2018-06-16-14:10,843
2018-06-16-14:15,835
2018-06-16-14:20,847
2018-06-16-14:25,843
2018-06-16-14:30,858
2018-06-16-14:35,897
2018-06-16-14:40,931
2018-06-16-14:45,971
2018-06-16-14:50,1009
2018-06-16-14:55,1032
2018-06-16-15:00,1091
2018-06-16-15:05,1105
2018-06-16-15:10,1137
2018-06-16-15:15,1155
2018-06-16-15:20,1201
2018-06-16-15:25,1218
2018-06-16-15:30,1158
2018-06-16-15:35,1202
2018-06-16-15:40,1214
2018-06-16-15:45,1266
2018-06-16-15:50,1309
2018-06-16-15:55,1338
2018-06-16-16:00,1375
2018-06-16-16:05,1423
