Date,MOD
2018-06-15-13:15,3491
2018-06-15-13:20,3486
2018-06-15-13:25,3486
2018-06-15-13:30,1662
2018-06-15-13:35,1662
2018-06-15-13:40,1661
2018-06-15-13:45,3386
2018-06-15-13:50,3381
2018-06-15-13:55,3382
2018-06-15-14:00,3362
2018-06-15-14:05,3348
2018-06-15-14:10,3351
2018-06-15-14:15,3356
2018-06-15-14:20,3358
2018-06-15-14:25,3360
2018-06-15-14:30,1662
2018-06-15-14:35,1669
2018-06-15-14:40,1670
2018-06-15-14:45,884
2018-06-15-14:50,883
2018-06-15-14:55,880
2018-06-15-15:00,878
2018-06-15-15:05,878
2018-06-15-15:10,885
2018-06-15-15:15,881
2018-06-15-15:20,885
2018-06-15-15:25,876
2018-06-15-15:30,876
2018-06-15-15:35,880
2018-06-15-15:40,887
2018-06-15-15:45,883
2018-06-15-15:50,881
2018-06-15-15:55,883
2018-06-15-16:00,882
2018-06-15-16:05,885
2018-06-15-16:10,882
2018-06-15-16:15,885
2018-06-15-16:20,886
2018-06-15-16:25,882
2018-06-15-16:30,1047
2018-06-15-16:35,1055
2018-06-15-16:40,1053
2018-06-15-16:45,1051
2018-06-15-16:50,1053
2018-06-15-16:55,1062
2018-06-15-17:00,1064
2018-06-15-17:05,3089
2018-06-15-17:10,3090
2018-06-15-17:15,3094
2018-06-15-17:20,6209
2018-06-15-17:25,6208
2018-06-15-17:30,6208
2018-06-15-17:35,6210
2018-06-15-17:40,6218
2018-06-15-17:45,6226
2018-06-15-17:50,6920
2018-06-15-17:55,6925
2018-06-15-18:00,6935
2018-06-15-18:05,7536
2018-06-15-18:10,7538
2018-06-15-18:15,7544
2018-06-15-18:20,8238
2018-06-15-18:25,8240
2018-06-15-18:30,8203
2018-06-15-18:35,8118
2018-06-15-18:40,8123
2018-06-15-18:45,8126
2018-06-15-18:50,8720
2018-06-15-18:55,8729
2018-06-15-19:00,8745
2018-06-15-19:05,9719
2018-06-15-19:10,9751
2018-06-15-19:15,9773
2018-06-15-19:20,10159
2018-06-15-19:25,10232
2018-06-15-19:30,10320
2018-06-15-19:35,11998
2018-06-15-19:40,12125
2018-06-15-19:45,12235
2018-06-15-19:50,14906
2018-06-15-19:55,15299
2018-06-15-20:00,15955
2018-06-15-20:05,28173
2018-06-15-20:10,28485
2018-06-15-20:15,28786
2018-06-15-20:20,34221
2018-06-15-20:25,34449
2018-06-15-20:30,34643
2018-06-15-20:35,37814
2018-06-15-20:40,37931
2018-06-15-20:45,37748
2018-06-15-20:50,35707
2018-06-15-20:55,35842
2018-06-15-21:00,36084
2018-06-15-21:05,40566
2018-06-15-21:10,40857
2018-06-15-21:15,41053
2018-06-15-21:20,44760
2018-06-15-21:25,44818
2018-06-15-21:30,44912
2018-06-15-21:35,48484
2018-06-15-21:40,48579
2018-06-15-21:45,48777
2018-06-15-21:50,52391
2018-06-15-21:55,50683
2018-06-15-22:00,49164
2018-06-15-22:05,32616
2018-06-15-22:10,32485
2018-06-15-22:15,32381
2018-06-15-22:20,28135
2018-06-15-22:25,28041
2018-06-15-22:30,28159
2018-06-15-22:35,27064
2018-06-15-22:40,27170
2018-06-15-22:45,27232
2018-06-15-22:50,27191
2018-06-15-22:55,27513
2018-06-15-23:00,28157
2018-06-15-23:05,37447
2018-06-15-23:10,37790
2018-06-15-23:15,37981
2018-06-15-23:20,42015
2018-06-15-23:25,42137
2018-06-15-23:30,42239
2018-06-15-23:35,44140
2018-06-15-23:40,44201
2018-06-15-23:45,44202
2018-06-15-23:50,40861
2018-06-15-23:55,40794
2018-06-16-00:00,40932
2018-06-16-00:05,40999
2018-06-16-00:10,41270
2018-06-16-00:15,41395
2018-06-16-00:20,43698
2018-06-16-00:25,43779
2018-06-16-00:30,43848
2018-06-16-00:35,44381
2018-06-16-00:40,44445
2018-06-16-00:45,44544
2018-06-16-00:50,45487
2018-06-16-00:55,44919
2018-06-16-01:00,43363
2018-06-16-01:05,33039
2018-06-16-01:10,32919
2018-06-16-01:15,32920
2018-06-16-01:20,30672
2018-06-16-01:25,30627
2018-06-16-01:30,30688
2018-06-16-01:35,30273
2018-06-16-01:40,30415
2018-06-16-01:45,30557
2018-06-16-01:50,31515
2018-06-16-01:55,31995
2018-06-16-02:00,32809
2018-06-16-02:05,39998
2018-06-16-02:10,40284
2018-06-16-02:15,40398
2018-06-16-02:20,42224
2018-06-16-02:25,42339
2018-06-16-02:30,42366
2018-06-16-02:35,43054
2018-06-16-02:40,43068
2018-06-16-02:45,42517
2018-06-16-02:50,39629
2018-06-16-02:55,39853
2018-06-16-03:00,40265
2018-06-16-03:05,41833
2018-06-16-03:10,42042
2018-06-16-03:15,42150
2018-06-16-03:20,42971
2018-06-16-03:25,43006
2018-06-16-03:30,43028
2018-06-16-03:35,43135
2018-06-16-03:40,43164
2018-06-16-03:45,43210
2018-06-16-03:50,41908
2018-06-16-03:55,39440
2018-06-16-04:00,38637
2018-06-16-04:05,27804
2018-06-16-04:10,27663
2018-06-16-04:15,27579
2018-06-16-04:20,25578
2018-06-16-04:25,25518
2018-06-16-04:30,25490
2018-06-16-04:35,24918
2018-06-16-04:40,24897
2018-06-16-04:45,24874
2018-06-16-04:50,24464
2018-06-16-04:55,24383
2018-06-16-05:00,24352
2018-06-16-05:05,23754
2018-06-16-05:10,23734
2018-06-16-05:15,23721
2018-06-16-05:20,23426
2018-06-16-05:25,23414
2018-06-16-05:30,23401
2018-06-16-05:35,23329
2018-06-16-05:40,23326
2018-06-16-05:45,23326
2018-06-16-05:50,23311
2018-06-16-05:55,23306
2018-06-16-06:00,23298
2018-06-16-06:05,23392
2018-06-16-06:10,23388
2018-06-16-06:15,23355
2018-06-16-06:20,22530
2018-06-16-06:25,22525
2018-06-16-06:30,22515
2018-06-16-06:35,22047
2018-06-16-06:40,22052
2018-06-16-06:45,22046
2018-06-16-06:50,21872
2018-06-16-06:55,21866
2018-06-16-07:00,21868
2018-06-16-07:05,21706
2018-06-16-07:10,21710
2018-06-16-07:15,21703
2018-06-16-07:20,21396
2018-06-16-07:25,21389
2018-06-16-07:30,21380
2018-06-16-07:35,20778
2018-06-16-07:40,20780
2018-06-16-07:45,20774
2018-06-16-07:50,20458
2018-06-16-07:55,20456
2018-06-16-08:00,20448
2018-06-16-08:05,19676
2018-06-16-08:10,19680
2018-06-16-08:15,19684
2018-06-16-08:20,19350
2018-06-16-08:25,19366
2018-06-16-08:30,19361
2018-06-16-08:35,18992
2018-06-16-08:40,18972
2018-06-16-08:45,18981
2018-06-16-08:50,18008
